id,common_name,scientific_name,date,time,count,longitude,latitude,location,observer,group_name,date_only
369155528,,Rhagio tringarius,2025-08-17,07:43,1,4.931756593286991,52.22003246872937,Vinkeveen,Johan Barth,Flies,2025-08-17
369126401,,Phania funesta,2025-08-17,13:56,1,4.906857,52.33322,Amsterdam - Volkstuincomplex Amstelglorie,Marian Barendtszen,Flies,2025-08-17
369124676,,Syrphus spec.,2025-08-17,13:01,1,4.907351,52.333556,Amsterdam - Volkstuincomplex Amstelglorie,Marian Barendtszen,Flies,2025-08-17
369121532,,Coenosia atra,2025-08-17,,1,4.905309677124023,52.331804733199746,Amsterdam - Volkstuincomplex Amstelglorie,Els Trautwein,Flies,2025-08-17
369087103,Walnut husk fly,Rhagoletis completa,2025-08-17,17:36,5,4.810401916503906,52.33108139038086,Amsterdam - Nieuwe Meer - Oeverlanden Noord,Ruud Jansen,Flies,2025-08-17
369120337,Face Fly,Musca autumnalis,2025-08-17,20:57,1,4.865810730790404,52.43701757863092,Oostzaan,Biodiversietuin Oostzaan,Flies,2025-08-17
369118592,,Lonchoptera spec.,2025-08-17,,1,4.907476902008057,52.33113970486959,Amsterdam - Volkstuincomplex Amstelglorie,Els Trautwein,Flies,2025-08-17
369115523,,Liriomyza eupatorii,2025-08-17,20:13,1,4.769606398917745,52.26512205114727,Aalsmeer,Len,Flies,2025-08-17
369104899,Common Drone Fly,Eristalis tenax,2025-08-17,13:12,1,4.908227944201144,52.33193760547558,Amsterdam - Volkstuincomplex Amstelglorie,Els Trautwein,Flies,2025-08-17
369041777,,Ectophasia crassipennis,2025-08-17,14:45,1,4.9089216,52.3310512,Amsterdam - Volkstuincomplex Amstelglorie,Els Trautwein,Flies,2025-08-17
369087091,,Sylvicola spec.,2025-08-17,17:39,1,4.810049533843994,52.33085250854492,Amsterdam - Nieuwe Meer - Oeverlanden Noord,Ruud Jansen,Flies,2025-08-17
369087085,,Liriomyza strigata,2025-08-17,17:42,3,4.808716297149658,52.33119583129883,Amsterdam - Nieuwe Meer - Oeverlanden Noord,Ruud Jansen,Flies,2025-08-17
369039511,,Sciara analis/hemerobioides,2025-08-17,14:35,1,4.999786,52.3429442,Amsterdam - Diemerpark,Cornelis Splinter,Flies,2025-08-17
369080694,Common Drone Fly,Eristalis tenax,2025-08-17,12:57,1,4.907967,52.331127,Amsterdam - Volkstuincomplex Amstelglorie,Carla Custers,Flies,2025-08-17
369080442,,Syrphus spec.,2025-08-17,14:00,1,4.907967,52.331127,Amsterdam - Volkstuincomplex Amstelglorie,Carla Custers,Flies,2025-08-17
369080003,Unidentified Non-biting Midge,Chironomidae indet.,2025-08-17,17:31,1,4.8020094,52.4991951,Wormer,Sanne,Flies,2025-08-17
369079683,Unidentified Non-biting Midge,Chironomidae indet.,2025-08-17,17:27,1,4.8019969,52.4992305,Wormer,Sanne,Flies,2025-08-17
369079100,,Rhagio tringarius,2025-08-17,15:19,3,4.907967,52.331127,Amsterdam - Volkstuincomplex Amstelglorie,Carla Custers,Flies,2025-08-17
369060557,,Pneumia nubila,2025-08-17,13:48,1,4.769202,52.383176,Amsterdam - Osdorper Binnenpolder-Noord ,Trees Kaizer,Flies,2025-08-17
368997470,,Liriomyza strigata,2025-08-17,11:20,1,4.80853,52.331178333333334,Amsterdam - Nieuwe Meer - Oeverlanden Noord,Peter Schiphof,Flies,2025-08-17
369077223,Stripe-faced Drone Fly,Eristalis nemorum,2025-08-17,17:18,1,4.865718600755696,52.43747011537562,Oostzaan,Biodiversietuin Oostzaan,Flies,2025-08-17
369074068,,Platypalpus spec.,2025-08-17,17:03,1,4.920348599722223,52.40275379972222,Amsterdam - Noord,H4rrison,Flies,2025-08-17
369073682,,Lauxaniidae indet.,2025-08-17,16:33,1,4.749285578727722,52.23314974636369,Kudelstaart,Josine v.Erp,Flies,2025-08-17
369039160,Thistle Gall Fly,Urophora cardui,2025-08-17,14:34,1,4.909362899722223,52.331011599722224,Amsterdam - Volkstuincomplex Amstelglorie,Marga de Dood,Flies,2025-08-17
369040552,Thistle Gall Fly,Urophora cardui,2025-08-17,14:41,1,4.909358251413722,52.33101665342613,Amsterdam - Volkstuincomplex Amstelglorie,Ellen van Donk,Flies,2025-08-17
369040643,Thistle Gall Fly,Urophora cardui,2025-08-17,14:41,1,4.9093822,52.3309863,Amsterdam - Volkstuincomplex Amstelglorie,Els Trautwein,Flies,2025-08-17
369068927,,Tephritis bardanae,2025-08-17,13:53,1,4.769868850708008,52.37994800775704,Amsterdam - Osdorper Binnenpolder-Noord ,Trees Kaizer,Flies,2025-08-17
369068371,,Tephritis bardanae,2025-08-17,13:53,1,4.769697189331055,52.37965460609989,Amsterdam - Osdorper Binnenpolder-Noord ,Trees Kaizer,Flies,2025-08-17
369061606,,Physemocecis ulmi,2025-08-17,13:49,1,4.769202,52.383176,Amsterdam - Osdorper Binnenpolder-Noord ,Trees Kaizer,Flies,2025-08-17
369060468,Common Drone Fly,Eristalis tenax,2025-08-17,16:07,1,4.807013333333334,52.37596333333333,Amsterdam - Geuzenveld,Josje,Flies,2025-08-17
369059488,Stripe-faced Drone Fly,Eristalis nemorum,2025-08-17,15:29,1,5.01096945,52.31192,Driemond - Volkstuincomplex Linnaeus en Frankendael,Karin Krabbendam,Flies,2025-08-17
369058547,Common Flower Fly,Syrphus ribesii,2025-08-17,15:59,1,4.80745,52.37593,Amsterdam - Geuzenveld,Josje,Flies,2025-08-17
369054152,Eurasian Drone Fly,Eristalis arbustorum,2025-08-17,15:33,1,4.909180641174316,52.33484649658203,Amsterdam - Volkstuincomplex Amstelglorie,Geert van Poelgeest,Flies,2025-08-17
